status,cert_num,url,company_num,name,address,location,valid_from,valid_to,scope,body,notes
active,KZR INiG CU - 885999/1,http://certyfikaty.kzr.inig.eu/public/certs/4057.pdf,1359/7999/DD/22,OBRÓBKA DREWNA JÓZEF PATERAK,"Polska, 39-332 Tuszów Narodowy, Pluty 11","Polska, 39-332 Tuszów Narodowy, Pluty 11",2023-04-01,2024-03-31,First gathering point of other wastes/residues with and without storage; Trading with and without storage; Solid fuel production (originating from biomass); Solid biomass processing unit; Other: Sawmill,Control Union Poland Sp. z o. o.,
active,NC.156.35.2023.5.KZR,http://certyfikaty.kzr.inig.eu/public/certs/4059.pdf,766/7999/DD/18,"GRUPA SMOLEŃ Emilia Świeczkowska, Mateusz Smoleń Sp. J.","Polska, 83-021 Przejazdowo, ul. Wierzbowa 2","Polska, 83-021 Przejazdowo, ul. Wierzbowa 2",2023-03-30,2024-03-29,FGP of crops with storage; Trading with storage,Noble Cert Sp. z o. o.,
active,BVC/KZR/112/22/1,http://certyfikaty.kzr.inig.eu/public/certs/4056.pdf,1093/7999/DD/21,Agro Gold Sp. z o.o. Sp.K,"Polska, 26-070 Łopuszno, Sarbice Drugie 45",-,2023-03-29,2023-10-28,First  gathering point of crops excluding storage; Trading without storage,Bureau Veritas Polska Sp. z o. o.,Aktualizacja załącznika do certyfikatu /Update of the annex to the certificate<br>
active,DEKRA-710323021,http://certyfikaty.kzr.inig.eu/public/certs/4053.pdf,852/7999/DD/19,Polskie Młyny Sp. z o.o.,"Polska, ul. Połczyńska 97A, 01-303 Warszawa","1. Polska, 01-303 Warszawa, ul. Połczyńska 97A; 2. Polska, 56-400 Oleśnica, ul. 3-go maja 34a - Elewator Oleśnica; 3. Polska, 48-300 Nysa, Głębinów 30 - Elewator ZPE Goświnowice; 4. Polska, 49-300 Brzeg, ul. Grobli 19 - Elewator Brzeg; 5. Polska, 96-515 Teresin, al. XX lecia 36 - Magazyn Teresin; 6. Polska, 96-515 Elżbietów, Działka nr 6/4; 7/4; 9/7 - Plac Elżbietów; 7. Polska, 46-200 Kluczbork, ul. Młyńska 8 - Magazyn Kluczbork; 8. Polska, 46-200 Kluczbork, Ligota Dolna - Czaple Wolne, działka nr 311, 312 - Plac Kluczbork; 9.Polska, 57-100 Strzelin, ul. Borowska 1 - Elewator Strzelin",2023-03-28,2024-03-27,First gathering point of crops with storage; Trading with storage;  Solid fuel production (originating from biomass); Solid  biomass processing unit;,DEKRA Certification Sp. z o. o.,
active,BVC/KZR/024/23,http://certyfikaty.kzr.inig.eu/public/certs/4058.pdf,912/7999/DD/20,Jan Rumaniec Zakład Produkcyjno-Usługowo-Handlowy Młyn Gospodarczy w Dobrem,"Polska, 88-210 Dobre, ul. Dworcowa 38","Polska, 88-210 Dobre, ul. Dworcowa 38",2023-03-28,2024-02-23,First gathering point of crops including storage,Bureau Veritas Polska Sp. z o. o.,Aktualizacja załącznika do certyfikatu /Update of the annex to the certificate<br>
active,URS 015641-0038,http://certyfikaty.kzr.inig.eu/public/certs/4052.pdf,1962/7999/DD/23,Niemrol sp. z o.o.,"Polska, 56-100 Wołów, Stary Wołów, Stary Wołów 59","Polska, 56-100 Wołów, Stary Wołów, Stary Wołów 59",2023-03-27,2024-03-26,First gathering point of crops without storage;,United Registrar of Systems Polska Sp. z o.o.,
active,BVC/KZR/027/23,http://certyfikaty.kzr.inig.eu/public/certs/4050.pdf,1287/7999/DD/21,GREEN PETROL Sp.  z o.o.,"Polska, 00-013 Warszawa, ul. Jasna 1/307","1. Polska, 00-013 Warszawa, ul. Jasna 1/307; 2. Polska, 88-192 Piechcin, Bielawy 56; 3. Polska, 26-680 Wierzbica, ul. Tadeusza Kościuszki 92",2023-03-25,2024-03-24,First gathering point of other wastes/residues with and without storage; Trading with and without storage; Solid fuel production (originating from biomass); Solid  biomass processing unit; Other: place of origin;,Bureau Veritas Polska Sp. z o. o.,
active,DEKRA-710315013/8,http://certyfikaty.kzr.inig.eu/public/certs/4051.pdf,137/7999/DD/15,"Waldemar Dumański P.H.U. ""RYWAL"" Waldemar Dumański","Polska, Domaniów, Pełczyce 10","Polska, Domaniów, Pełczyce 10",2023-03-25,2024-03-24,First gathering point of crops with storage; Trading with storage;,DEKRA Certification Sp. z o. o.,
active,BVC/KZR/133/22/1,http://certyfikaty.kzr.inig.eu/public/certs/4054.pdf,1170/7999/DD/21,Tauron Wytwarzanie S.A.,"Polska, 43-600 Jaworzno, Promienna 51","1. Polska, 43-600 Jaworzno, Promienna 51; 2. Polska, 43-603 Jaworzno, ul. Energetyków 15 (blok OZE); 3. Polska, 43-603 Jaworzno, Energetyków 15 (bloki 2 i 3); 4. Polska, 32-541 Trzebinia, Siersza",2023-03-24,2023-12-08,Heat producer; Electricity producer,Bureau Veritas Polska Sp. z o. o.,Aktualizacja załącznika do certyfikatu (nowe lokalizacje) /Update of the annex to the certificate (new locations)<br>
active,BVC/KZR/150/22/1,http://certyfikaty.kzr.inig.eu/public/certs/4055.pdf,1193/7999/DD/21,Homanit Krosno Odrzańskie Sp. z o.o.,"Polska, 66-600 Krosno Odrzańskie, Gubińska 63","Polska, 66-600 Krosno Odrzańskie, Gubińska 63",2023-03-24,2023-12-31,"First gathering point of other wastes / residues with storage; Solid fuel production (originating from biomass); Heat producer; Other: Point of origin of waste and residue,",Bureau Veritas Polska Sp. z o. o.,Aktualizacja certyfikatu po rozszerzeniu zakresu certyfikacji /Update of the certificate after the extension of the scope of certification<br>
active,DEKRA-710323020,http://certyfikaty.kzr.inig.eu/public/certs/4049.pdf,1939/7999/DD/23,Eko-Wtór Sp. z o.o.,"Polska, 43-330 Wilamowice, Towarowa 5","1. Polska, 43-330 Wilamowice, Towarowa 5; 2. Polska, 34-100 Wadowice, Wałowa 28",2023-03-23,2024-03-22,First gathering point of other wastes / residues with storage,DEKRA Certification Sp. z o. o.,
